iter	Passed	Remaining
0	2	2184
1	5	2544
2	8	2762
3	11	2912
4	15	3003
5	18	3087
6	23	3317
7	27	3378
8	31	3423
9	34	3459
10	38	3496
11	43	3551
12	47	3577
13	51	3597
14	54	3609
15	58	3627
16	62	3637
17	66	3647
18	70	3649
19	74	3649
20	78	3643
21	81	3641
22	85	3645
23	89	3644
24	93	3646
25	97	3640
26	100	3632
27	104	3623
28	107	3615
29	111	3608
30	115	3601
31	118	3594
32	122	3587
33	126	3579
34	129	3574
35	133	3567
36	136	3560
37	140	3555
38	144	3551
39	147	3548
40	151	3548
41	155	3544
42	159	3539
43	162	3534
44	166	3530
45	169	3522
46	173	3519
47	177	3515
48	180	3510
49	184	3506
50	188	3502
51	191	3497
52	195	3494
53	199	3490
54	202	3485
55	206	3482
56	210	3481
57	214	3477
58	217	3471
59	221	3469
60	225	3469
61	228	3462
62	232	3457
63	236	3454
64	239	3451
65	243	3446
66	247	3442
67	250	3438
68	254	3435
69	258	3431
70	261	3427
71	265	3423
72	269	3424
73	273	3420
74	276	3415
75	280	3407
76	284	3405
77	287	3402
78	291	3397
79	295	3393
80	298	3391
81	302	3385
82	306	3382
83	309	3373
84	313	3370
85	316	3367
86	320	3364
87	323	3356
88	327	3349
89	331	3349
90	335	3351
91	339	3348
92	344	3363
93	348	3355
94	351	3347
95	354	3339
96	357	3332
97	361	3324
98	364	3316
99	367	3309
100	370	3301
101	374	3293
102	377	3285
103	380	3277
104	383	3269
105	386	3261
106	389	3253
107	392	3245
108	395	3236
109	399	3229
110	402	3221
111	405	3214
112	408	3207
113	411	3199
114	414	3193
115	418	3187
116	421	3181
117	424	3174
118	428	3168
119	431	3163
120	434	3157
121	438	3152
122	441	3146
123	444	3140
124	447	3135
125	451	3131
126	454	3125
127	458	3120
128	461	3114
129	464	3109
130	467	3103
131	471	3098
132	474	3093
133	478	3089
134	481	3085
135	484	3081
136	488	3076
137	491	3071
138	495	3069
139	499	3068
140	503	3065
141	506	3059
142	510	3056
143	513	3054
144	517	3051
145	521	3047
146	524	3044
147	528	3041
148	531	3037
149	535	3034
150	538	3029
151	542	3024
152	546	3024
153	549	3019
154	553	3014
155	556	3009
156	559	3004
157	562	2999
158	566	2994
159	569	2988
160	572	2983
161	575	2978
162	578	2973
163	582	2968
164	585	2962
165	588	2957
166	592	2953
167	595	2948
168	598	2943
169	601	2938
170	605	2934
171	608	2928
172	611	2924
173	614	2919
174	618	2914
175	621	2910
176	624	2905
177	628	2900
178	631	2895
179	634	2891
180	638	2886
181	641	2881
182	644	2877
183	647	2872
184	650	2867
185	654	2863
186	657	2858
187	660	2854
188	664	2850
189	667	2845
190	670	2841
191	674	2836
192	677	2832
193	680	2828
194	684	2823
195	687	2818
196	690	2813
197	693	2809
198	698	2810
